,Company,Model,FuelType,Colour,Kilometer,BodyStyle,TransmissionType,ModelYear,CngKit,Price,Owner,DealerState,City,Warranty,QualityScore,MileagePerYear,Luxury,CarAge
0,MARUTI SUZUKI,CELERIO(2017-2019),PETROL,Silver,33197,HATCHBACK,manual,2018,0,575000,1.0,Karnataka,Bangalore,1,7.8,16.450445986124876,Non-Luxury,7
1,MARUTI SUZUKI,ALTO,PETROL,Red,10322,HATCHBACK,manual,2021,0,434999,1.0,Karnataka,Bangalore,1,8.3,5.1073725878278085,Non-Luxury,4
2,HYUNDAI,GRAND I10,PETROL,Grey,37889,HATCHBACK,manual,2015,0,470000,1.0,Karnataka,Bangalore,1,7.9,18.80347394540943,Non-Luxury,10
3,TATA,NEXON,PETROL,A Blue,13106,HATCHBACK,manual,2020,0,990000,1.0,Karnataka,Bangalore,1,8.1,6.488118811881188,Non-Luxury,5
4,FORD,FIGO,DIESEL,Silver,104614,HATCHBACK,manual,2010,0,270000,2.0,Karnataka,Bangalore,0,7.5,52.04676616915423,Non-Luxury,15
5,MERCEDES BENZ,E CLASS,DIESEL,Black,87700,SEDAN,automatic,2013,0,999000,3.0,Karnataka,Bangalore,0,7.2,43.566815697963236,Non-Luxury,12
6,VOLKSWAGEN,AMEO,DIESEL,Blue,70577,SEDAN,manual,2017,0,675000,1.0,Karnataka,Bangalore,1,7.9,34.99107585523054,Non-Luxury,8
7,MARUTI SUZUKI,ERTIGA,PETROL,A Blue,76259,MPV,manual,2013,0,600000,1.0,Karnataka,Bangalore,1,7.6,37.883258817685046,Non-Luxury,12
8,MARUTI SUZUKI,SWIFT,PETROL,Silver,85000,HATCHBACK,manual,2015,0,480000,3.0,Karnataka,Bangalore,0,7.4,42.18362282878412,Non-Luxury,10
9,HYUNDAI,I10,PETROL,Red,77000,HATCHBACK,manual,2008,0,240000,2.0,Karnataka,Bangalore,0,7.2,38.34661354581673,Non-Luxury,17
10,VOLKSWAGEN,AMEO,PETROL,Steel Grey,29416,SEDAN,manual,2018,0,650000,1.0,Karnataka,Bangalore,1,8.1,14.576808721506442,Non-Luxury,7
11,MARUTI SUZUKI,CELERIO,PETROL,Red,64277,HATCHBACK,manual,2017,0,500000,2.0,Karnataka,Bangalore,1,7.7,31.86762518591968,Non-Luxury,8
12,HYUNDAI,CRETA(2018-2019),DIESEL,Red,51078,SUV,manual,2018,0,1135000,1.0,Karnataka,Bangalore,1,7.8,25.31119920713578,Non-Luxury,7
13,MARUTI SUZUKI,VITARA BREZZA,DIESEL,Red,66535,SUV,manual,2017,0,875000,1.0,Karnataka,Bangalore,1,8.1,32.987109568666334,Non-Luxury,8
14,MAHINDRA,XUV500,DIESEL,Moondust Silver,58422,SUV,manual,2016,0,1350000,1.0,Karnataka,Bangalore,1,7.5,28.979166666666668,Non-Luxury,9
15,HONDA,JAZZ,PETROL,Orange,53377,HATCHBACK,manual,2016,0,595000,1.0,Karnataka,Bangalore,1,7.7,26.47668650793651,Non-Luxury,9
16,HYUNDAI,GRAND I10,PETROL,Marine Blue,19365,HATCHBACK,manual,2019,0,675000,1.0,Karnataka,Bangalore,1,7.9,9.591381872213967,Non-Luxury,6
17,RENAULT,DUSTER,PETROL,Brown,42773,SUV,manual,2017,0,755000,1.0,Karnataka,Bangalore,1,7.7,21.206246901338623,Non-Luxury,8
18,NISSAN,MICRA ACTIVE,PETROL,Silver,17511,HATCHBACK,manual,2015,0,409999,2.0,Karnataka,Bangalore,1,8.1,8.69032258064516,Non-Luxury,10
19,MARUTI SUZUKI,CELERIO,PETROL,Red,48042,HATCHBACK,manual,2016,0,525000,2.0,Karnataka,Bangalore,1,8.1,23.830357142857142,Non-Luxury,9
20,MARUTI SUZUKI,CELERIO,PETROL,Silver,36914,HATCHBACK,manual,2016,0,484999,1.0,Karnataka,Bangalore,1,8.4,18.310515873015873,Non-Luxury,9
21,MARUTI SUZUKI,SWIFT,PETROL,Grey,47892,HATCHBACK,manual,2017,0,645000,1.0,Karnataka,Bangalore,1,8.5,23.744174516608826,Non-Luxury,8
22,JEEP,COMPASS,DIESEL,White,55779,SUV,manual,2018,0,1545000,1.0,Karnataka,Bangalore,1,8.1,27.640733399405352,Non-Luxury,7
23,HYUNDAI,ELITE I20,PETROL,Grey,44291,HATCHBACK,manual,2019,0,715000,1.0,Karnataka,Bangalore,1,8.7,21.93709757305597,Non-Luxury,6
24,NISSAN,TERRANO,PETROL,Silver,35421,SUV,manual,2016,0,655000,1.0,Karnataka,Bangalore,1,8.0,17.569940476190474,Non-Luxury,9
25,FORD,FIESTA(2008-2011),DIESEL,Silver,139196,SEDAN,manual,2010,0,235000,1.0,Karnataka,Bangalore,0,0.0,69.25174129353233,Non-Luxury,15
26,HYUNDAI,XCENT,PETROL,White Red,61040,SEDAN,manual,2015,0,555000,1.0,Karnataka,Bangalore,1,8.2,30.292803970223325,Non-Luxury,10
27,HONDA,BRIO,PETROL,Brown,67935,HATCHBACK,manual,2013,0,375000,1.0,Karnataka,Bangalore,0,7.8,33.74813710879285,Non-Luxury,12
28,HYUNDAI,ELITE I20,PETROL,Red,34580,HATCHBACK,manual,2017,0,620000,2.0,Karnataka,Bangalore,1,8.2,17.14427367377293,Non-Luxury,8
29,HYUNDAI,VERNA,DIESEL,Gold,172469,SEDAN,manual,2008,0,275000,2.0,Karnataka,Bangalore,0,6.3,85.89093625498008,Non-Luxury,17
30,MAHINDRA,XUV500,DIESEL,Grey,67147,SUV,manual,2014,0,950000,1.0,Karnataka,Bangalore,1,7.2,33.34011916583913,Non-Luxury,11
31,TATA,TIAGO,PETROL,Brown,66837,HATCHBACK,manual,2018,0,530000,2.0,Karnataka,Bangalore,1,8.3,33.12041625371655,Non-Luxury,7
32,HONDA,JAZZ,PETROL,White,63578,HATCHBACK,manual,2017,0,620000,2.0,Karnataka,Bangalore,1,7.9,31.521070897372336,Non-Luxury,8
33,HYUNDAI,GRAND I10,PETROL,Red,30959,HATCHBACK,manual,2017,0,625000,1.0,Karnataka,Bangalore,1,8.2,15.349033217649975,Non-Luxury,8
34,HONDA,WR V,PETROL,White,54174,SUV,manual,2017,0,825000,1.0,Karnataka,Bangalore,1,8.3,26.858701041150223,Non-Luxury,8
35,MARUTI SUZUKI,BALENO,PETROL,Blue,27701,HATCHBACK,manual,2018,0,760000,1.0,Karnataka,Bangalore,1,8.6,13.726957383548067,Non-Luxury,7
36,FORD,FIGO,PETROL,Grey,54127,HATCHBACK,manual,2016,0,495000,2.0,Karnataka,Bangalore,1,8.0,26.848710317460316,Non-Luxury,9
37,FIAT,GRAND PUNTO,DIESEL,Yellow,103000,HATCHBACK,manual,2014,0,455000,1.0,Karnataka,Bangalore,0,7.7,51.14200595829195,Non-Luxury,11
38,FORD,FIGO,DIESEL,White,53490,HATCHBACK,manual,2012,0,345000,1.0,Karnataka,Bangalore,0,7.7,26.58548707753479,Non-Luxury,13
39,MARUTI SUZUKI,SWIFT,PETROL,Blue,23768,HATCHBACK,manual,2018,0,675000,1.0,Karnataka,Bangalore,1,8.7,11.777998017839446,Non-Luxury,7
40,HYUNDAI,EON,PETROL,Grey,57834,HATCHBACK,manual,2015,0,335000,2.0,Karnataka,Bangalore,1,8.1,28.701736972704715,Non-Luxury,10
41,HYUNDAI,I20 ACTIVE,PETROL,Red,32321,HATCHBACK,manual,2017,0,680000,2.0,Karnataka,Bangalore,1,7.9,16.02429350520575,Non-Luxury,8
42,HYUNDAI,GRAND I10,PETROL,Orange,33975,HATCHBACK,manual,2014,0,515000,1.0,Karnataka,Bangalore,1,8.0,16.869414101290964,Non-Luxury,11
43,FORD,ECOSPORT,DIESEL,Silver,70183,SUV,manual,2014,0,595000,2.0,Karnataka,Bangalore,0,7.2,34.84756703078451,Non-Luxury,11
44,FORD,FIGO,DIESEL,White,69220,HATCHBACK,manual,2011,0,315000,2.0,Karnataka,Bangalore,0,7.3,34.42068622575833,Non-Luxury,14
45,VOLKSWAGEN,POLO,DIESEL,White,50392,HATCHBACK,manual,2013,0,515000,2.0,Karnataka,Bangalore,0,7.3,25.033283656234477,Non-Luxury,12
46,MAHINDRA,XUV500,DIESEL,Pearl White,104318,SUV,manual,2014,0,850000,2.0,Karnataka,Bangalore,0,6.7,51.79642502482621,Non-Luxury,11
47,MAHINDRA,XUV500(2011_2015),DIESEL,Black,93400,SUV,manual,2014,0,890000,2.0,Karnataka,Bangalore,0,6.7,46.37537239324727,Non-Luxury,11
48,NISSAN,MICRA,PETROL,Orange,66258,HATCHBACK,manual,2011,0,295000,1.0,Karnataka,Bangalore,0,7.5,32.94778717056191,Non-Luxury,14
49,MARUTI SUZUKI,BALENO,PETROL,Blue,52386,HATCHBACK,manual,2017,0,730000,1.0,Karnataka,Bangalore,1,8.4,25.97223599405057,Non-Luxury,8
50,TOYOTA,FORTUNER,DIESEL,White,127574,SUV,manual,2014,0,1775000,1.0,Karnataka,Bangalore,0,6.8,63.34359483614697,Non-Luxury,11
51,MARUTI SUZUKI,SWIFT,DIESEL,Red,32909,HATCHBACK,manual,2018,0,775000,1.0,Karnataka,Bangalore,1,8.2,16.307730426164518,Non-Luxury,7
52,MARUTI SUZUKI,SWIFT DZIRE,PETROL,Silver,29723,HATCHBACK,automatic,2018,0,735000,1.0,Karnataka,Bangalore,1,8.5,14.728939544103072,Non-Luxury,7
53,RENAULT,KWID(2015_2019),PETROL,Red,26642,HATCHBACK,manual,2016,0,420000,2.0,Karnataka,Bangalore,1,8.0,13.215277777777779,Non-Luxury,9
54,HYUNDAI,GRAND I10(2017-2020),PETROL,Orange,16806,HATCHBACK,manual,2018,0,610000,1.0,Karnataka,Bangalore,1,8.5,8.32804757185332,Non-Luxury,7
55,HYUNDAI,GRAND I10,PETROL,Blue,36735,HATCHBACK,manual,2018,0,625000,1.0,Karnataka,Bangalore,1,8.4,18.203666997026758,Non-Luxury,7
